Theme	ParentTheme	Domain	Tags	RelatedThemes	Definition	Example
handheld lab	fictional apparatus	alternate reality			A hand-held multifunction device used for sensor scanning, data analysis, and recording data. In other words: a tricorder.	
handheld multifunction super gun	fictional apparatus	alternate reality			A gun-like device used for all sorts of purposes, including as laser weapon, telescope, pocket calculator, and rocket motor.	"An ancient slaver weapon of that kind was uncovered in a stasis box in tas1x14 ""The Slaver Weapon""."
immobilization web	fictional apparatus	alternate reality			A spiderweb-shaped force field that prevents you from moving once you step onto it.	"The Kzinti immobilized Spock and his landing party with a weaponized form of this technology in tas1x14 ""The Slaver Weapon""."
kill button	fictional apparatus	alternate reality			A device used to make anyone you want anywhere disappear forever at the push of a button.	"Evil Kirk had access to such a device in tos2x10 ""Mirror, Mirror"", the Tantalus field."
life force draining headband	fictional apparatus	alternate reality			A headband-shaped device used to transfer the wearer’s life-force somewhere else.	"Taurean women put such devices on men in tas1x04 ""The Lorelei Signal"", until Captain Kirk and his crew put a stop to it all."
life-support belt	fictional apparatus	alternate reality			A simple belt-like device that can be worn in lieu of a clumsy space suit but that offers the same protection.	
matter replicator	fictional apparatus	alternate reality			A device used to synthesize all sorts of material objects merely out of energy.	"L.Q. ""Sonny"" Clemonds replicated a straight up martini with two olives (for the vitamins) using the Enterprise-D matter replicator in tng1x26 ""The Neutral Zone""."
matter transmuter	fictional apparatus	alternate reality			A device used to transform material objects into other material objects or into energy.	
pain belt	fictional apparatus	alternate reality			A belt-like device used to induce unbearable pain in its wearer without causing physical injury.	"The Eymorg outfitted Captain Kirk, McCoy, and Scotty with pain belts in tos3x06 ""Spock's Brain""."
pain buzzer	fictional apparatus	alternate reality			A handy device that when attached to a person can be used to induce unbearable pain without causing physical injury.	"Spock with a goatee disciplined Kyle (mirror) using an agonizer, i.e. a pain buzzer, for his carelessness at the transporter controls in tos2x10 ""Mirror, Mirror"""
pain collar	fictional apparatus	alternate reality			A collar-like device used to induce unbearable pain in its wearer without causing physical injury.	"A trio of disembodied brains employed ""collars of obedience"" to maintain control over their thrall gladiators in tos2x17 ""The Gamesters of Triskelion""."
pain implant	fictional apparatus	alternate reality			A medical device implanted in the body to induce unbearable pain in its wearer without causing physical injury.	"Arctus Baran was not above using neural servos (i.e. pain implant devices) to keep control over his rogue crew in tng7x04 ""Gambit, Part I"" and tng7x05 ""Gambit, Part II""."
pain stick	fictional apparatus	alternate reality			A stick-like device used to induce unbearable pain in its target without causing physical injury.	"The ""painstick"" is the Klingon equivalent of cattle prod. It was usedto inflict pain on Worf in tng2x14 ""The Icarus Factor"" for ritualistic purposes."
paralysis field	fictional apparatus	alternate reality			A device used to paralyze people in an extended area.	
simulated reality	fictional apparatus	alternate reality			Technology that is like the virtual reality of today, but handles all the sense so that it can be all but impossible to distinguish the fantasy world from reality.	
sonic razor	fictional apparatus	alternate reality			A device that removes unwanted body hair with sonic vibrations: the shave of tomorrow.	Geordi whipped out his sonic razor in front of Data in tng1x04 “Code of Honor”.
stasis box	fictional apparatus	alternate reality			A box used to preserve its contents indefinitely, as if frozen in time.	"The versatile Slaver gun had been kept safely in a stasis box for a billion years in tas1x14 ""The Slaver Weapon""."
super spy pen	fictional apparatus	alternate reality			A pen-like device used to make all sorts of things happen at the push of a button.	"Agent Gary Seven used such a pen to save the Earth from nuclear holocaust in tos2x26 ""Assignment: Earth""."
take-you-anywhere gateway	fictional apparatus	alternate reality			A portal-like device which can let you pass through it in order to appear anywhere else in the universe.	
teleportation device	fictional apparatus	alternate reality			A device used to move people and objects over vast distances by transforming matter into energy and the reconstituting the matter at the destination.	
tractor beam	fictional apparatus	alternate reality			A contraption used to produce a beam of gravity to attract material objects at a distance but in a desired direction.	
universal translator	fictional apparatus	alternate reality			A device used to seamlessly translate speech between any languages.	
virtual reality room	fictional apparatus	alternate reality			A programmable room that can produce virtually any imaginable setting, including tangible physical objects, like virtual reality on steroids.	
virtual reality suit	fictional apparatus	alternate reality			A wearable suit that makes it seem as if you were somewhere else, encompassing all the senses.	"Geordi used a virtual reality suit to explore a wrecked spaceship in the inhospitable environment of a gas giant planet in tng7x03 ""Interface""."
voice duplicator	fictional apparatus	alternate reality			A device used to make your voice sound like that of another.	The android Ruk had a built in voice duplicator that let him impersonate Captain Kirk in tos1x09 “What Are Little Girls Made Of?”
asteroid impact	force majeure existential risk	alternate reality			Life on a planet is threatened by an asteroid that is on a collision course with it.	
atmospheric dissipation	force majeure existential risk	alternate reality			The atmosphere on a planet disappears and civilization collapses.	"Worf's unruly brother Nikolai save a group of Boraalan villagers from certain death in a rapid atmospheric dissipation event on their homeworld in tng7x13 ""Homeward""."
botanical plague	force majeure existential risk	alternate reality			A biological agent or pathogen wipes out a significant amount of plant-life on a planet and the dependent civilization collapses.	"Captain Kirk had to pick up zenite consignment in order to stop such a plague on Merak II in tos3x19 ""The Cloud Minders""."
collision with a parallel anti-matter universe	force majeure existential risk	alternate reality			Our universe somehow collides with another one that is made out of anti-matter and everything goes in a big bang.	"Lazarus-A sacrificed himself to stop our universe from colliding with its parallel anti-matter duplicate in tos1x20 ""The Alternative Factor""."
dying sun	force majeure existential risk	alternate reality			The sun to a planet becomes colder and civilization collapses.	
global warming	force majeure existential risk	alternate reality			The greenhouse effect and/or other processes cause the temperature on a planet to rise and civilization collapses.	"Global warning threatened civilization on the Beta moon of Peliar Zel in tng4x23 ""The Host""."
ice age	force majeure existential risk	alternate reality			A planet becomes so cold that glaciers advance and civilization collapses.	"The Eymorg civilization had collapsed when they entered an ice age in tos3x06 ""Spock's Brain""."
mass radiation poisoning	force majeure existential risk	alternate reality			Radiation from some unspecified source wipes out life on a planet.	"The Scalosians were nearly wiped out by radiation in tos3x13 ""Wink of an Eye""."
moon slowly spiraling into a planet	force majeure existential risk	alternate reality			The moon to a planet drops out of its normal orbit for some reason and starts on a slow, spiraling collision course with the planet.	"The Enterprise-D saved the Natives of Bre'el IV from this fate in tng3x13 ""Deja Q""."
pandemic	force majeure existential risk	alternate reality			A biological agent or pathogen wipes out civilization on a planet.	
planet scorching solar flare	force majeure existential risk	alternate reality			An abnormally strong solar flare roasts the surface of a planet like so many coffee beans, and civilization collapses.	"The Irish colonists on Bringloidi V had to be evacuated as their sun began to emit powerful solar flares in tng2x18 ""Up The Long Ladder""."
rise in ambient galactic radiation level	force majeure existential risk	alternate reality			The ever-present background radiation in a galaxy suddenly rises and everyone dies of radiation poisoning.	The Kelvan Empire was imperiled by a rise in ambient radiation across the Andromeda galaxy in tos2x21 “By Any Other Name”.
sinking continent	force majeure existential risk	alternate reality			The land levels on a planet sink, or the oceans rise, and civilization disappears into a watery grave.	"After seismic disturbances the planet Argo had become almost wholly covered with water and the inhabitants turned themselves into water-breathers in tas1x13 ""The Ambergris Element""."
spontaneous planetary break up	force majeure existential risk	alternate reality			A planet suddenly breaks apart and becomes rubble for no particular reason.	"Planets in the Selcundi Drema sector were spontaneously breaking up as a result of natural geologic cataclysms in tng2x15 ""Pen Pals""."
stray astronomical object	force majeure existential risk	alternate reality			A rouge planet or other large astronomical object that is not tied to a particular star comes into collision course with a populated planet.	"The genetically engineered colonist utopia on Moab IV was threatened by a stray stellar core fragment from a collapsed neutron star in tng5x13 ""The Masterpiece Society""."
sun going supernova	force majeure existential risk	alternate reality			The sun to a planet enters its supernova state and civilization is fried like so many chickens.	
volcanic cataclysm	force majeure existential risk	alternate reality			Volcanic activity increases and civilization bites the dust. Pardon the pun.	"Terratin civilization on Terra Ten was threatened by volcanic activity in tas1x11 ""The Terratin Incident"" so Captain Kirk moved them all to Verdanis."
female stereotype	gender issues	society			The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary women. Many of these may be considered sexist today.	
male stereotype	gender issues	society			The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary men. Many of these may be considered sexist today.	
the battle of the sexes	gender issues	society			The category of themes that are about some aspect of the debates and struggles for supremacy between the male gender and the female gender.	
a danger shared can bring people together	group interaction	the human condition			It is observed how a shared danger to a group of people can work to forge unity and cooperation within that group.	"By facing a ferocious electromagnetic beast together, Captain Picard and the Tamarian Captain Dathon finally figured out how to communicate in tng5x02 ""Darmok""."
belonging	group interaction	the human condition			Members of a group feel that they are an essential part of that group.	
chain of command	group interaction	the human condition	the workplace		The command hierarchy of an institution is featured.	
competition among friends	group interaction	the human condition			A group of friends compete in an amicable way, typically without dirty tricks and hard feelings.	"Junior officer competed amicably for a promotion in tng7x15 ""Lower Decks""."
control by intimidation	group interaction	the human condition			A person in charge uses fear to keep his underlings under control.	
demagoguery	group interaction	the human condition			Someone uses fine words, speeches, rhetorical tricks etc. to influence a group of people.	
keeping secrets	group interaction	the human condition			Someone tries to keep something a secret from others around them.	
leadership	group interaction	the human condition		the qualities of a good leader	Someone does a good or bad job of leading a group of people.	
loss of inhibition	group interaction	the human condition			Someone has a reduction in their social inhibitions that normally make them care what others think about their words and actions. This typically happens as a result of consuming alcohol or some other mind altering substance.	"The entire Enterprise crew let it all hang loose while under the influence of polywater in tos1x06 ""The Naked Time""."
loss of self-control	group interaction	the human condition			Someone looses their self-control and acts on base emotions such as fear or anger, etc.	
mass hysteria	group interaction	the human condition			Allusions of a threat spread through a group causing panic, each person’s fear reinforcing that of the next and in a vicious circle.	
negotiation	group interaction	the human condition			Two or more people seek to reach a mutually acceptable arrangement of some sort.	
office politics	group interaction	the human condition	the workplace		There is scheming, maneuvering, and intrigue in the workplace.	"Younglings on the Enterprise pondered how to get ahead in their careers in tng7x15 ""Lower Decks""."
pecking order	group interaction	the human condition	the workplace		The struggle for social dominance in the workplace is featured.	"Chief Engineer Logan stormed to the bridge to issue a challenge Geordi's authority in the midst of a heated space battle in tng1x21 ""The Arsenal of Freedom"". Geordi, who had been left in command of the Enterprise-D, promptly ordered Logan back to main engineering."
peer pressure	group interaction	the human condition			A member of some group is pressured into making a certain choice by other members of that group.	
social awkwardness	group interaction	the human condition			A socially awkward character has trouble interacting and communicating effectively with other people.	
table manners	group interaction	the human condition			The importance of, for example, not tearing into a bloody steak with your bare hands in polite company is featured.	Captain Kirk gave Elaan, the Dohlman of Elas, a lesson in table manners in tos3x02 “Elaan of Troyius”.
the bureaucrat at command	group interaction	the human condition			A paper-pusher with little practical experience of how things are done is suddenly in command of a group in the field.	"When Captain Kirk started to loose his wits due to rapid aging, Commodore George Stocker took command of the Enterprise in tos2x11 ""The Deadly Years"" but not having any field experience he of course made a mess of it."
the importance of punctuality	group interaction	the human condition			Someone causes trouble and discord by not keeping their appointments.	The Tholians were renown for their punctuality in tos3x09 “The Tholian Web”.
there is weakness in conformism	group interaction	the human condition			It is illustrated that groups in which all members conform to common ways of thinking and acting to a high degree, have some potential disadvantages that more diverse groups do not.	"The terrible Borg were defeated after Captain Picard found their central off-switch in tng4x01 ""The Best of Both Worlds, Part II""."
trust in a leader	group interaction	the human condition			A leader inspires trust in their team members.	
two heads are better than one	group interaction	the human condition			The advantage of discussing ideas with others is illustrated.	"Geordi conjured up Leah Brahms on the holodeck and it turned out that together they could do what neither could alone in tng3x06 ""Booby Trap""."
working together in spite of disagreement	group interaction	the human condition	the workplace		People who disagree and dislike each other must seek to work together in spite of their differences.	
working together under stress	group interaction	the human condition	the workplace		People must try to work amicably and efficiently together under heavy stress.	
workplace relations	group interaction	the human condition	the workplace		People form friendships and other interpersonal relationships in the workplace.	
adolescence	growing up	the human condition	juvenile		Problems associated with pubescent teenagers are featured.	
black sheep	growing up	the human condition	juvenile		Someone is regarded as the family disgrace because of their uncouth or criminal ways.	"Lore was the family disgrace in the eyes of his goody two-shoes brother Data in tng1x13 ""Datalore""."
childhood as an outsider	growing up	the human condition	juvenile	orphanhood	Someone grows up in a community they don’t feel they quite fit in with, perhaps because they are a freaky alien with devilishly pointed ears.	"Spock's trials and tribulations as a half-Human child growing up on conservative planet Vulcan were featured in tas1x02 ""Yesteryear""."
childhood aspirations	growing up	the human condition	juvenile		A child’s typically ephemeral life ambitions are featured.	
father and son rivalry	growing up	the human condition	juvenile		There is conflict between father and son in keeping with the Oedipusean tradition.	Riker settled his long-standing rivalry with his father Kyle in the anbo-jtytsu dohyo tng2x14 “The Icarus Factor”.
imaginary friend	growing up	the human condition	juvenile		A child has a friend who is entirely a figment of their imagination.	"Clara’s imaginary friend Isabelle became real thanks to a mischievous incorporeal alien in tng5x22 ""Imaginary Friend""."
leaving the nest	growing up	the human condition	juvenile		A juvenile reaches that stage in life when it is time to take leave of mom and dad and face the world.	"Wesley wrestled with leaving the comfortable confines of the Enterprise-D to enter Starfleet Academy in tng3x24 ""Ménage à Troi""."
multicultural upbringing	growing up	the human condition	juvenile		A kid is brought up being part of two or more cultures, perhaps because mom and dad have different heritages.	"Worf and his mate K'Ehleyr discussed the troubles of growing up with a foot each in two different cultures in tng2x20 ""The Emissary""."
orphanhood	growing up	the human condition	juvenile	childhood as an outsider	Someone grows up having no parents for all or part of their childhood.	
role models	growing up	the human condition	juvenile		A young person imitates someone they look up to.	
sibling rivalry	growing up	the human condition	juvenile		There is conflict between brothers and sisters.	
spoiled brat	growing up	the human condition	juvenile		An overindulged, pampered kid acts in a selfish and inconsiderate manner.	"Trelane was an alien being of unimaginable power who could create planets out of thin space in tos1x18 ""The Squire of Gothos"", but he was also a spoiled kid of the kind who would enjoy pulling the wings off of flies."
teenage angst	growing up	the human condition	juvenile	adolescence	A teenager feels anxious about fitting in and being misunderstood as teenagers so often do.	
university entrance exams	growing up	the human condition	juvenile		An adolescent deals with the challenge of entrance exams that may determine their future career.	"Wesley tried the Starfleet Academy entrance exam and failed in tng1x19 ""Coming of Age""."
youthful indiscretion	growing up	the human condition	juvenile		A juvenile does stupid or criminal things as juveniles so often do before they learn better.	
chastity	heavenly virtue	the human condition			Someone refrains from engaging in sexual activity.	Captain Picard declined Ardra's amorous advances when she materialized in his quarters in the middle of the night in tng4x13 “Devil's Due”.
diligence	heavenly virtue	the human condition		fortitude	"Someone is being zealous with respect to a duty or a personal conviction. Note that ""fortitude"", by contrast, is used when someone perseveres in spite of adversity and hardship."	
generosity	heavenly virtue	the human condition		kindness	Someone goes out of their way to help someone else in material terms without being strongly motivated by love or duty: The other may be a stranger or an enemy.	The philosopher king Parmen bestowed gifts upon Captain Kirk, Spock, and McCoy in tos3x12 “Plato's Stepchildren”.
humility	heavenly virtue	the human condition		lesson in humility, pride	Someone downplays their own abilities or receives a lesson in humility that appears effective.	
kindness	heavenly virtue	the human condition		generosity	Someone feels deeply for the plight of another and offers kindness and compassion rather than material aid.	
patience	heavenly virtue	the human condition		wrath	Someone has every reason to be angry or vengeful but manages to put a lid on it.	"Jenna D'Sora needed the patience of Job to keep up a romantic relationship with Data in tng4x25 ""In Theory""."
temperance	heavenly virtue	the human condition		gluttony	Someone abstains from hedonism and seems like a pretty ascetic fellow, choosing a straightforward and simple lifestyle.	Robert Picard, the elder brother of Jean-Luc Picard, was a man of moderation. In tng4x02 “Family” it was revealed that Robert would not even allow food replicators in his home.
passion for archaeology	human aspiration	the human condition			Someone gets a kick out of digging up old relics and frequenting ancient places.	"Captain Picard's much anticipated lecture on archaeological ruins of Tagus III was rudely cut short by Q in tng4x20 ""Qpid""."
passion for charitable volunteering	human aspiration	the human condition			Someone gets a kick out of trying to make the universe a better place.	"It was revealed that Miranda Vigo had cared for orphans on Camor V in tng7x22 ""Bloodlines""."
passion for gambling	human aspiration	the human condition			Someone gets a kick out of betting on the outcome of physical processes such as dice throws.	"The Providers, a trio of disembodied brains, had a gambling problem to say the least in tos2x17 ""The Gamesters of Triskelion""."
passion for medicine	human aspiration	the human condition			Someone gets a kick out of curing ailments and treating injuries.	"Beverly treated some casualties of a terrorist attack at extreme risk to her personal safety in tng3x12 ""The High Ground""."
passion for music	human aspiration	the human condition			Someone gets a kick out of hearing or producing harmonious sonic vibrations in the air.	"Captain Picard and Nella Daren made beautiful music together aboard the Enterprise-D in tng6x19 ""Lessons""."
passion for space exploration	human aspiration	the human condition			Someone gets a kick out of flying about in space and finding new things there.	"Captain Kirk marveled at the prospect of observing matter being create at the of center of the galaxy in tas1x08 ""The Magicks of Megas-Tu""."
the desire for glory	human aspiration	the human condition			Someone wants nothing better than to become famous for great and grand achievements such as the vanquishing of foes.	
the desire for justice	human aspiration	the human condition			Someone seeks righteous, and typically lawful, vengeance upon some miscreant.	"Riker and his team wanted to bring Captain Picard’s presumed murderers to justice in tng7x04 ""Gambit, Part I""."
the desire for personal development	human aspiration	the human condition			Someone wants nothing better than to improve on their own competences and character.	
the desire for prestige	human aspiration	the human condition			Someone wants nothing better than to become pre-eminently respected in their community.	
the desire for redemption	human aspiration	the human condition			Someone seeks to make up for past misdeeds and gain forgiveness.	Worf and his brother Kurn together sought redemption for the father's soiled reputation in tng4x26 “Redemption” and again in tng5x01 “Redemption, Part II”.
the desire for vengeance	human aspiration	the human condition			Someone, rightly or wrongly, seeks vengeance for a perceived personal injustice.	
the desire to advance one's career	human aspiration	the human condition			Someone seeks ever further promotion, influence, rank, and salary at work.	
the desire to be beautiful	human aspiration	the human condition			Someone wants nothing less than to look good.	
the desire to be worshiped	human aspiration	the human condition			Someone wants nothing less than for others to worship them like a god.	"The alien Apollo craved worshipers in tos2x04 ""Who Mourns for Adonais?""."
the desire to pursue one's dream	human aspiration	the human condition			Someone has wishes to pursue unusual or fanciful ambitions that most people typically do not spend their lives persuing.	
the lust for gold	human aspiration	the human condition			Someone wants nothing better than to acquire more money and possessions.	
the lust for power	human aspiration	the human condition			Someone seeks ever more influence in society and the means to make people do their bidding.	
the quest for immortality	human aspiration	the human condition			Someone seeks a way to live on forever.	Ira Graves surreptitiously transferred his consciousness into Data in an effort to gain eternal life in tng2x06 “The Schizoid Man”.
the thirst for knowledge	human aspiration	the human condition			Someone wants ever more information, understanding, and knowledge.	
agreeable characteristic	human characteristic	the human condition	positive	disagreeable characteristic	The category of themes that illustrates character traits that are generally admirable and typically considered beneficial to society.	
disagreeable characteristic	human characteristic	the human condition	negative	agreeable characteristic	The category of themes that illustrates character traits that are generally disagreeable and typically considered bad for society.	
amicable disposition	human disposition	the human condition	positive	antagonistic disposition	The category of themes that illustrate positive attitudes we may have towards one another.	
antagonistic disposition	human disposition	the human condition	negative	amicable disposition	The category of themes that illustrate negative attitudes we may have towards one another.	
deadly sin	human emotion	the human condition	negative	heavenly virtue	The category of themes that illustrate the traditional “deadly sins” of Christian theology.	
heavenly virtue	human emotion	the human condition	positive	deadly sin	The category of themes that illustrate the traditional “heavenly virtues” of Christian theology.	
pleasant emotion	human emotion	the human condition	positive	unpleasant emotion	The category of themes that illustrate those emotions that we typically enjoy having.	
unpleasant emotion	human emotion	the human condition	negative	pleasant emotion	The category of themes that illustrate those emotions that we typically do not enjoy having.	
anti-aging technology	human enhancement	alternate reality			Technology that undoes aging and takes years of your face!	
artificial human body	human enhancement	alternate reality			An artificially constructed human body into which a real persons mind can be put one way or another.	"Renowned exobiologist Roger Korby constructed android “clones” of himself and other people in tos1x09 ""What Are Little Girls Made Of?""."
biological stasis technology	human enhancement	alternate reality			Technology that can stop, e.g., a human body from aging or changing in any way for an extended amount of time.	"Kamala the Metamorph was kept in a stasis device so that she wouldn’t upset the crew with her erotic powers in tng5x21 ""The Perfect Mate""."
brain disembodiment technology	human enhancement	alternate reality			Technology by which a brain can be taken out of the body and maintained in a functioning state for an extended amount of time.	"The Morg of Sigma Draconis VI used such technology to steal Spock’s big and sexy brain in tos3x06 ""Spock's Brain""."
cryogenic technology	human enhancement	alternate reality		suspended animation	Technology that can freeze, e.g., a human body and thus stop it from aging or changing in any major way for an extended amount of time.	
de-evolution	human enhancement	alternate reality			A hypothetical process by which a creature can be transformed into some creature of an earlier stage in its evolutionary history. E.g., a human could become an ape-like “australopithecus”, or a rat-like “repenomamus”, etc.	
external immune system	human enhancement	alternate reality			A hypothetical immune system that extends outside the body, attacking potential diseases before they can even come close.	"Sara Kingsley’s genetically engineered super-children had such an effective immune system that it attacked pathogens before they could even get near the body in question in tng2x07 ""Unnatural Selection""; unfortunately it also attacked other people."
face patch	human enhancement	alternate reality			Like an eye patch, but covering half of the face.	The “steady, reputable, and occasionally brilliant” Dr. Thomas Leighton sported a face patch in tos1x12 “The Conscience of the King”.
genetically engineered supersoldier	human enhancement	alternate reality			A soldier that has been genetically engineered to be capable of operating well beyond normal human limits or abilities.	"The Angosians had, during the Tarsan Wars, chemically and genetically enhanced their soldiers, we were told in tng3x11 ""The Hunted""."
mobile life support box	human enhancement	alternate reality			A bewheeled box-like device that keeps you alive and mobile even after the most crippling of catastrophic accidents.	"Captain Pike was confined to just such a device in tos1x15 “The Menagerie, Part I” and tos1x16  “The Menagerie, Part II""."
plug-in learning	human enhancement	alternate reality			Technology by which you can inject your brain with knowledge and skill in an instant.	McCoy plugged himself into “The Great Teacher” in order to acquire the knowledge necessary to surgically restore Spock's brain to the Vulcan's body in tos3x06 “Spock's Brain”.
rapid aging	human enhancement	alternate reality			A hypothetical process that makes you age significantly faster than normal and faster than natural.	"When Gamma Hydra IV experienced mild radiation in the tail of a rogue comet, Captain Kirk and some of his team started to age rapidly in tos2x11 ""The Deadly Years""."
remote controlled humanoid	human enhancement	alternate reality			Technology by which, e.g., a human can be controlled by another human at a distance.	McCoy jury-rigged a brainless Spock so that he could be operated by remote control in tos3x06 “Spock's Brain”.
retarded aging	human enhancement	alternate reality			A hypothetical process that makes you age much slower than normal.	"McCoy's tricorder scans of the Vaalians in tos2x09 ""The Apple"" revealed them to not be aging at all, praise be Vaal."
shapeshifting	human enhancement	alternate reality			A hypothetical process by which a human or other biological creature can change shape to a seemingly different kind of creature. This is often featured as an inate ability.	
sonar-based artificial vision	human enhancement	alternate reality			A sonar-like technology that translates sounds in the environment into something that the brain can use to understand its surroundings in lieu of eyesight.	The blind telepath Miranda Jones wore a sonar-based sensor web dress that helped her to compensate for her disability in tos3x07 “Is There in Truth No Beauty?”.
suspended animation	human enhancement	alternate reality		cryogenic technology	Technology that can considerably slow basic life processes, e.g., breathing or a heartbeat, in a manner that allows for subjects to be later revived.	
vision beyond the visible spectrum	human enhancement	alternate reality			Technology that can make the brain perceive and interpret electromagnetic waves (light) beyond what is normal, i.e., into the infrared or ultraviolet regions and possibly beyond. This is used to describe Geordi's iconic VISOR.	
hate begets hate	human nature	the pursuit of knowledge			The committing of hateful acts cause others to do the same, leading to a vicious self-reinforcing cycle.	"Areel Shaw argued that it was basic human nature to hate a person who hates you in tos1x14 ""Court Martial""."
hatred unites	human nature	the pursuit of knowledge			People who would otherwise not be allies come to work together because they share the same hated enemy.	"It was their hatred of the Zeons that united the Ekosians in tos2x23 ""Patterns of Force""."
love conquers all	human nature	the pursuit of knowledge		love does not transcend all bounds	Two lovers have such strong feelings for each other that prove to survive surprisingly difficult obstacles, e.g., years of separation.	"Anne Nored remained as deeply in love as ever with Carter Winston even after it came to light that he was a betentacled alien spy in tas1x06 ""The Survivor""."
love does not transcend all bounds	human nature	the pursuit of knowledge		love conquers all	The time tested wisdom that “love conquers all” is refuted by an illustration of how two lovers drift apart because of some obstacle.	"While Beverly would go far for the sake of love she drew a firm line at lesbianism when her lover switched gender in tng4x23 ""The Host""."
people can change	human nature	the pursuit of knowledge			Someone who was of a certain character proves later to have changed in a profound and, perhaps, surprising way. For example, a no-good punk, juvenile delinquent reforms their wicked ways to become a veritable saint.	"Returning defector Stefan DeSeve had really seen the error of his ways in tng6x14 ""Face of the Enemy""."
power corrupts	human nature	the pursuit of knowledge			Someone who was decent gains power and because of the power becomes nasty.	
the admiration for strength	human nature	the pursuit of knowledge			The human tendency to fawn over strong and powerful beings (or things) is featured.	
the art of flattery	human nature	the pursuit of knowledge			How and why we feel flattered is discussed.	
the art of smalltalk	human nature	the pursuit of knowledge			The human tendency to sometimes engage in mostly meaningless and idle chit-chat is featured.	Data studied the master of smalltalk Calvin “Hutch” Hutchinson in tng6x18 “Starship Mine”.
the human mind and big numbers	human nature	the pursuit of knowledge			The problem our brain has with comprehending very large numbers is featured. How does the radius of the universe compare with, say, the length of your nose?	"Spock pointed out in tos2x19 ""The Immunity Syndrome"" how the human mind finds it easier to understand the death of one than the death of a million."
the instinct for violence	human nature	the pursuit of knowledge			The all too familiar human penchant for violence is discussed.	"The Melkotians deplored the human instinct for violence and sought to turn it against the Enterprise crew in tos3x01 ""Spectre of the Gun""."
the nature of animal instincts in humans	human nature	the pursuit of knowledge			Those ancient instincts that are deeply rooted in the reptile core of our brains are discussed. They typically involve aggression, survival, and reproduction.	"Suppressed animal instincts come to the surface as the crew begins to de-evolve in tng7x19 ""Genesis""."
the nature of children	human nature	the pursuit of knowledge			What children’s innate attributes and behaviors are is discussed.	"Earth Two was populated wholly by child Onlies in tos1x11 ""Miri"" as all the adults had succumbed to a disease."
the nature of death	human nature	the pursuit of knowledge			Existential questions about the end of life are discussed.	"The immortal alien being Nagilum killed Enterprise-D crew in order to understand the nature of this whole dying business in tng2x02 ""Where Silence Has Lease""."
the nature of friendship	human nature	the pursuit of knowledge			How friendships work, end, or come about is discussed.	"Data the emotionless android emphatically explained the essentials of friendship to Ishara in tng4x06 ""Legacy""."
the nature of grief	human nature	the pursuit of knowledge			The emotion of grief and associated activities are pondered.	"Captain Picard explained how grief is a natural part of the human life cycle to an incorporeal alien in tng3x05 ""The Bonding""."
the nature of human emotions	human nature	the pursuit of knowledge			What emotions are and what they mean to us is discussed.	
the nature of human perception of time	human nature	the pursuit of knowledge			How we sense and think of time is discussed.	Data put the aphorism “a watched pot never boils” to the test in tng6x25 “Timescape”.
the nature of humor	human nature	the pursuit of knowledge			What it means to leave people in stitches is pondered.	
the nature of individuality	human nature	the pursuit of knowledge			What it is that distinguishes us as individuals from other people in the mass of humanity, is pondered.	
the nature of love	human nature	the pursuit of knowledge			The emotion of love and associated activities are pondered.	
the nature of persuasion	human nature	the pursuit of knowledge			The ways by which we sway each others’ opinions are pondered.	"Expert negotiator Ral soliloquize about this in tng3x08 ""The Price""."
the nature of sneezing	human nature	the pursuit of knowledge			The deep and profound mysteries of the sneeze are examined.	Wesley stumbled on Data practicing his artificial sneezing in tng1x13 “Datalore”.
the nature of the senses	human nature	the pursuit of knowledge			What our senses are and how they work is discussed.	
the nature of the subconscious	human nature	the pursuit of knowledge			The workings of the subconscious mind is explored.	
the psychology of torture	human nature	the pursuit of knowledge			How torture affects the mind of victim, perpetrator, bystanders, etc. is explored.	
the qualities of a good leader	human nature	the pursuit of knowledge			What it takes to lead other people effectively is discussed.	
the reasons for playing games	human nature	the pursuit of knowledge			What in our minds attract us to games of different sorts is pondered.	"Data, Troi and Pulaski discussed why we enjoy playing games in tng2x21 ""Peak Performance""."
the winners write history	human nature	the pursuit of knowledge			The time tested wisdom that time tested wisdom and history are generally constructed by the winners of conflicts and would possibly look quite different if such conflicts had ended differently.	
attachment to one's land	human need	the human condition			The human penchant for becoming attached to geographical locations is featured. This is perhaps a nicer way of referring to human territoriality.	
attachment to one's livelihood	human need	the human condition			The human tendency to become attached to a profession and be reluctant to give it up is featured.	"Xenophobic miners on Janus VI nearly killed the last alien of a species rather than give up their lucrative livelihood in tos1x26 ""The Devil in the Dark""."
attachment to one's people	human need	the human condition			The human tendency to build up loyalty to the people in the society we live in for a long time is featured. This is perhaps a nicer way of referring to (ethno-) nationalism.	"Ro Larren decided to betray the Federation and side with her own people in tng7x24 ""Preemptive Strike""."
captain and crew's attachment to their ship	human need	the human condition			The human tendency to form strong bonds to ships we are in command of or serve on for some time, is illustrated.	
the need for a challenge in life	human need	the human condition			It is suggested that humans, in order to feel fulfilled, need some kind of long term challenge to overcome.	
the need for a purpose in life	human need	the human condition			It is suggested that humans, in order to feel fulfilled, need some kind of long term purpose to work toward.	
